"","Lat","Lon","Time Range","Vessel IDs","Apparent Fishing Hours"
"143",69,17,"2021-11",1,4.42
"144",69,16.8,"2021-06",1,2.77
"145",68.9,17.6,"2021-04",1,0.96
"146",68.9,16.7,"2021-12",2,1.48
"147",69.1,17,"2021-10",1,0.18
"148",69.1,17.4,"2021-08",3,24.26
"149",68.8,16.7,"2021-05",2,14.98
"150",68.7,17,"2021-10",6,42.64
"151",68.8,17.2,"2021-10",3,16.44
"152",68.8,17.5,"2021-11",3,11.96
"153",69,16.5,"2021-11",2,6.85
"154",68.7,17.1,"2021-07",1,2.88
"155",69.1,17.1,"2021-07",1,5.46
"156",68.8,17.4,"2021-02",2,10.48
"157",68.9,17.6,"2021-11",5,68.3
"158",69.1,16.8,"2021-12",1,9.88
"159",68.9,16.7,"2021-07",2,4.84
"160",68.7,17,"2021-05",1,1.45
"161",68.8,16.7,"2021-10",4,13.07
"162",68.8,17.2,"2021-05",1,2.01
"163",68.7,16.9,"2021-08",1,17.94
"164",68.9,17.2,"2021-12",1,2.15
"165",68.8,17.5,"2021-04",1,0.14
"166",69,17.5,"2021-01",1,3.28
"167",69.1,16.8,"2021-09",2,11.2
"168",68.9,16.6,"2021-01",5,35.31
"169",68.8,17,"2021-01",1,5.81
"170",69,16.9,"2021-12",1,9.23
"171",68.9,16.8,"2021-01",2,65.57
"172",69,17.4,"2021-07",2,1.13
"173",68.7,17.2,"2021-01",2,2.33
"174",69,16.8,"2021-08",2,1.74
"175",68.9,16.9,"2021-01",3,8.96
"176",69,16.8,"2021-12",2,12.64
"177",68.9,17.6,"2021-10",1,19.02
"178",69,16.9,"2021-08",1,0.93
"179",69.1,17.1,"2021-06",1,5.44
"180",68.8,16.7,"2021-11",2,2.91
"181",68.9,16.7,"2021-06",1,7.98
"182",68.7,16.9,"2021-12",1,14.2
"183",68.9,17.2,"2021-08",1,1.59
"184",68.8,17.2,"2021-04",3,5.78
"185",69,17.2,"2021-01",2,3.45
"186",69.1,17.4,"2021-07",2,3.03
"187",69.1,16.8,"2021-08",1,6.1
"188",69,16.8,"2021-09",1,4.07
"189",68.8,17.3,"2021-02",2,1.72
"190",69,17.4,"2021-06",1,0.09
"191",68.7,17.3,"2021-05",1,2.64
"192",68.9,17.5,"2021-11",5,21.86
"193",68.8,17.2,"2021-07",2,1.34
"194",68.8,16.7,"2021-12",2,21.42
"195",68.9,16.7,"2021-05",3,59.17
"196",69.1,16.8,"2021-10",2,10.22
"197",69,16.8,"2021-11",2,27.28
"198",68.8,17.6,"2021-04",1,0.39
"199",69,17.3,"2021-04",2,7
"200",69,17.4,"2021-05",1,0.75
"201",69,16.9,"2021-10",2,1.86
"202",68.9,16.6,"2021-03",4,36.7
"203",68.7,16.9,"2021-11",1,27.68
"204",69.1,16.9,"2021-11",1,1.23
"205",68.8,16.7,"2021-09",1,1.12
"206",69,17.2,"2021-02",1,5.49
"207",69.1,17.4,"2021-04",1,2.14
"208",69.1,16.8,"2021-11",2,18.13
