"","Lat","Lon","Time Range","Vessel IDs","Apparent Fishing Hours"
"1",50.2,-4.3,"2021-01",18,254.37
"2",50.2,-4.6,"2021-08",3,9.59
"3",50.3,-4.3,"2021-08",15,160.03
"4",50.3,-4.6,"2021-01",5,12.15
"5",50.2,-4.5,"2021-10",19,168.44
"6",50.3,-4.4,"2021-10",15,230.3
"7",50.4,-4.1,"2021-08",3,1.75
"8",50.1,-4.5,"2021-03",9,44.49
"9",50.2,-4.2,"2021-12",16,71.73
"10",50.1,-4,"2021-06",13,100.79
"11",50.1,-4.3,"2021-12",17,80.64
"12",50.2,-4.2,"2021-09",20,148.22
"13",50.1,-4.1,"2021-05",19,231.23
"14",50,-4.2,"2021-08",8,59.05
"15",50.2,-4.4,"2021-02",8,42.16
"16",50.1,-4.3,"2021-09",15,285.1
"17",50,-4.4,"2021-03",7,15.12
"18",50.1,-4.2,"2021-01",15,135.63
"19",50.3,-4.1,"2021-04",9,28.16
"20",50.2,-4.6,"2021-12",6,9.7
"21",50.3,-4.5,"2021-03",3,7.61
"22",50.1,-4.4,"2021-10",14,149.11
"23",50.3,-4,"2021-06",4,31.39
"24",50,-4.2,"2021-12",5,9.74
"25",50.2,-4.4,"2021-03",8,97.13
"26",50.1,-4.3,"2021-08",15,284.83
"27",50.2,-3.9,"2021-06",5,239.27
"28",50.4,-4.4,"2021-06",1,0.53
"29",50.3,-4.2,"2021-01",14,43.96
"30",50.1,-4.1,"2021-04",23,409.01
"31",50,-4.2,"2021-09",12,69.83
"32",50,-4.4,"2021-02",3,3.08
"33",50.2,-4.2,"2021-08",19,214.1
"34",50.2,-4.6,"2021-09",4,4.65
"35",50.3,-4.3,"2021-09",13,106.96
"36",50,-4.3,"2021-01",7,25.44
"37",50.2,-4.5,"2021-11",18,163.19
"38",50.1,-4,"2021-07",20,278.87
"39",50.1,-4.4,"2021-11",21,287.49
"40",50.3,-4.5,"2021-02",4,30.11
"41",50.3,-4.1,"2021-05",4,20.83
"42",50.3,-4,"2021-07",4,35.09
"43",50.2,-3.9,"2021-07",5,176.89
"44",50.1,-4.5,"2021-02",11,36.27
"45",50.4,-4.1,"2021-09",2,3.82
"46",50.3,-4.4,"2021-11",13,365.15
"47",50.3,-4.3,"2021-12",9,81.96
"48",50.3,-4.2,"2021-02",5,16.5
"49",50.1,-4.1,"2021-07",23,310.12
"50",50,-4.4,"2021-01",1,0.81
"51",50.3,-4.4,"2021-09",12,224.84
"52",50.4,-4.1,"2021-11",2,0.56
"53",50.3,-4.1,"2021-06",9,72.06
"54",50.1,-4.2,"2021-03",18,498.03
"55",50.1,-4.4,"2021-08",14,232.74
"56",50.2,-4.3,"2021-03",14,111.7
"57",50,-4.3,"2021-02",11,23.85
"58",50.2,-4.5,"2021-12",14,68.11
"59",50.4,-4.4,"2021-05",2,0.27
"60",50.2,-3.9,"2021-05",5,156.94
"61",50.3,-4,"2021-05",4,34.78
"62",50.2,-4.6,"2021-11",8,7.26
"63",50.2,-4.5,"2021-09",9,72.57
"64",50.3,-4.3,"2021-11",17,160.54
"65",50.1,-4,"2021-04",15,109.7
"66",50.2,-4.2,"2021-10",19,314.77
"67",50,-4.2,"2021-11",12,29.88
"68",50.1,-4.3,"2021-10",15,172.23
"69",50.1,-4.5,"2021-01",7,27.11
"70",50.3,-4.4,"2021-12",9,113.67
"71",50.4,-4.1,"2021-10",2,1.58
"72",50.3,-4.4,"2021-08",11,236.07
"73",50.2,-4.4,"2021-01",17,156.67
"74",50.1,-4.1,"2021-06",18,304.04
"75",50.3,-4.2,"2021-03",7,8.36
"76",50,-4.3,"2021-03",14,79.1
"77",50.3,-4.6,"2021-02",1,1.1
"78",50.1,-4.4,"2021-09",14,211.41
"79",50.2,-4.3,"2021-02",13,91.93
"80",50.1,-4.2,"2021-02",18,203.74
"81",50.3,-4.1,"2021-07",11,50.33
"82",50.2,-4.5,"2021-08",7,71
"83",50.3,-4.3,"2021-10",19,163.18
"84",50.1,-4.4,"2021-12",13,84.58
"85",50.3,-4.5,"2021-01",12,166.88
"86",50.2,-4.6,"2021-10",9,13.51
"87",50.3,-4,"2021-04",2,37.16
"88",50.2,-3.9,"2021-04",5,125.28
"89",50.1,-4.3,"2021-11",21,294.38
"90",50,-4.2,"2021-10",7,13.95
"91",50.1,-4,"2021-05",14,117.74
"92",50.2,-4.2,"2021-11",21,272.09
"93",50.2,-4.1,"2021-12",15,64.96
"94",50.3,-4,"2021-03",4,29.86
"95",50.2,-3.9,"2021-03",4,91.4
"96",50.3,-4.5,"2021-06",15,127.32
"97",50.4,-4.5,"2021-11",2,33.52
"98",50.1,-4,"2021-02",17,113.87
"99",50.1,-4.5,"2021-07",15,69.96
"100",50.1,-4.1,"2021-01",14,129.19
"101",50.3,-4.2,"2021-04",6,13.49
"102",50.1,-3.9,"2021-10",7,27.95
"103",50,-4.4,"2021-07",2,1.98
"104",50.2,-4.4,"2021-06",13,106.06
"105",50.2,-4.1,"2021-09",17,127.43
"106",50.3,-3.9,"2021-11",2,17.04
"107",50.1,-4.2,"2021-05",22,425.72
"108",50.2,-4,"2021-11",25,223.28
"109",50,-4.1,"2021-08",9,22.71
"110",50,-4.3,"2021-04",15,82.23
"111",50.3,-4.6,"2021-05",3,0.83
"112",50.2,-4.3,"2021-05",12,149.8
"113",50.3,-4.5,"2021-07",11,84.49
"114",50.4,-4.2,"2021-09",1,0.43
"115",50,-4.1,"2021-12",5,7.87
"116",50.2,-3.9,"2021-02",8,58.21
"117",50.3,-4,"2021-02",2,12.9
"118",50.1,-4.5,"2021-06",10,67.56
"119",50.1,-4,"2021-03",18,102.35
"120",50.4,-4.3,"2021-01",1,0.96
"121",50.2,-4.4,"2021-07",8,58.8
"122",50,-4.4,"2021-06",1,2.02
"123",50.1,-3.9,"2021-11",8,32.25
"124",50.3,-4.2,"2021-05",10,56.75
"125",50.2,-4.3,"2021-04",15,149.55
