"","Lat","Lon","Time Range","Vessel IDs","Apparent Fishing Hours"
"126",50,-4.3,"2021-05",11,49.75
"127",50.3,-4.6,"2021-04",3,3.42
"128",50.3,-4.1,"2021-01",6,29.77
"129",50.1,-4.2,"2021-04",22,480.22
"130",50,-4.1,"2021-09",11,35.47
"131",50.2,-4,"2021-10",24,223.33
"132",50.2,-4.1,"2021-08",20,204.6
"133",50.1,-4.5,"2021-05",12,28.77
"134",50.1,-3.9,"2021-09",9,35.85
"135",50.3,-4.5,"2021-04",6,38.37
"136",50,-4.1,"2021-11",9,13.83
"137",50.2,-4,"2021-08",21,172.55
"138",50.2,-3.9,"2021-01",5,70.05
"139",50.4,-4.4,"2021-01",1,0.31
"140",50.3,-3.9,"2021-08",3,6.01
"141",50.3,-4,"2021-01",1,3.82
"142",50.2,-4.1,"2021-10",25,300.28
"143",50.2,-4.3,"2021-07",15,180.52
"144",50.4,-4.2,"2021-11",1,0.96
"145",50.3,-4.6,"2021-07",3,7.73
"146",50,-4.3,"2021-06",11,45.63
"147",50.3,-4.1,"2021-02",5,53.55
"148",50.1,-4.2,"2021-07",19,353.44
"149",50.2,-4.4,"2021-04",13,97.65
"150",50.1,-3.9,"2021-12",7,9.43
"151",50.3,-4.2,"2021-06",18,59.81
"152",50.4,-4.5,"2021-08",1,0
"153",50.1,-4.1,"2021-03",18,437.96
"154",50.4,-4.5,"2021-12",1,0
"155",50.1,-3.9,"2021-08",11,43.12
"156",50.1,-4,"2021-01",12,107.07
"157",50.1,-4.5,"2021-04",7,25.86
"158",50.3,-3.9,"2021-09",2,10.85
"159",50.2,-4.1,"2021-11",20,251.09
"160",50.2,-4,"2021-09",21,116.84
"161",50,-4.1,"2021-10",5,9.46
"162",50.3,-4.5,"2021-05",11,37.46
"163",50.3,-3.9,"2021-12",2,25.58
"164",50.2,-4,"2021-12",15,84.01
"165",50.1,-4.2,"2021-06",19,382.58
"166",50.3,-4.1,"2021-03",3,23.9
"167",50.3,-4.6,"2021-06",5,5.4
"168",50,-4.3,"2021-07",9,32.24
"169",50.2,-4.3,"2021-06",18,190.21
"170",50.1,-4.1,"2021-02",18,261.18
"171",50.4,-4.5,"2021-09",5,80.38
"172",50.3,-4.2,"2021-07",9,35.74
"173",50,-4.4,"2021-04",5,6.52
"174",50.2,-4.4,"2021-05",8,42.68
"175",50.3,-3.9,"2021-07",4,31.76
"176",50.2,-4,"2021-07",20,196.13
"177",50.2,-4.5,"2021-02",7,22.58
"178",50,-4.3,"2021-12",5,6.8
"179",50.3,-4.2,"2021-12",9,23.82
"180",50.1,-3.9,"2021-06",5,54.85
"181",50.2,-4.4,"2021-10",14,107.61
"182",50.4,-4.1,"2021-01",1,0.66
"183",50,-4.2,"2021-01",10,40.47
"184",50.4,-4.5,"2021-07",1,14.71
"185",50.3,-4.2,"2021-09",18,74.09
"186",50.3,-4.4,"2021-02",9,28.65
"187",50.1,-4.5,"2021-11",15,134
"188",50.2,-4.1,"2021-04",21,168
"189",50.1,-4.2,"2021-08",19,289.43
"190",50,-4.1,"2021-05",10,18.31
"191",50,-4.3,"2021-09",10,49.13
"192",50.3,-4.6,"2021-08",4,7.98
"193",50.3,-4.3,"2021-01",18,157.99
"194",50.1,-4.4,"2021-03",15,226.01
"195",50.3,-4.5,"2021-10",10,128.99
"196",50.2,-4.6,"2021-01",4,4.95
"197",50.2,-4.3,"2021-08",19,235.34
"198",50.4,-4.2,"2021-04",1,3.91
"199",50.2,-4.3,"2021-12",10,74.13
"200",50.2,-4.5,"2021-03",11,42.66
"201",50.3,-4.6,"2021-12",2,7.06
"202",50.1,-4.2,"2021-12",15,85.22
"203",50.2,-4,"2021-06",15,253.03
"204",50.3,-3.9,"2021-06",5,49.65
"205",50.2,-4.4,"2021-11",17,238.3
"206",50,-4.4,"2021-10",1,0.95
"207",50.1,-3.9,"2021-07",9,50.09
"208",50.1,-4.3,"2021-01",16,146.73
"209",50.1,-4.5,"2021-10",13,61.12
"210",50.3,-4.4,"2021-03",5,38.3
"211",50.2,-4.2,"2021-01",19,200.1
"212",50.3,-4.2,"2021-08",11,56.29
"213",50.4,-4.5,"2021-06",3,66.45
"214",50.3,-4.5,"2021-11",11,133.9
"215",50.1,-4.4,"2021-02",17,118.47
"216",50.2,-4.3,"2021-09",17,200.56
"217",50,-4.3,"2021-08",8,41.71
"218",50.3,-4.6,"2021-09",5,12.27
"219",50.1,-4.2,"2021-09",17,333.28
"220",50,-4.1,"2021-04",17,62.56
"221",50.2,-4.1,"2021-05",15,168.22
"222",50.2,-4.4,"2021-12",8,38.48
"223",50.1,-4.5,"2021-08",14,76.64
"224",50.1,-3.9,"2021-04",7,56.94
"225",50.3,-4.2,"2021-10",16,25.87
"226",50.2,-4.3,"2021-11",25,300.73
"227",50.3,-4.5,"2021-09",14,186.44
"228",50.3,-4.6,"2021-11",9,15.9
"229",50,-4.3,"2021-10",6,7.08
"230",50.2,-4,"2021-05",18,150.63
"231",50.1,-4.2,"2021-11",15,247.97
"232",50.3,-3.9,"2021-05",5,53.16
"233",50.2,-4.6,"2021-03",1,0.93
"234",50.3,-4.5,"2021-12",7,74.85
"235",50.1,-4.4,"2021-01",15,122.58
"236",50.3,-4.3,"2021-03",11,33.13
"237",50,-4.1,"2021-07",12,33.44
"238",50.2,-4.1,"2021-06",14,210.67
"239",50.2,-4.4,"2021-09",13,108.5
"240",50.1,-4.3,"2021-02",15,186.46
"241",50,-4.4,"2021-08",3,4.17
"242",50.2,-4.2,"2021-02",17,123.09
"243",50.4,-4.5,"2021-05",2,6.86
"244",50,-4.2,"2021-03",15,152.99
"245",50.3,-4.2,"2021-11",21,101.8
"246",50.1,-3.9,"2021-05",7,50.78
"247",50.4,-4.1,"2021-02",1,0.6
"248",50.1,-4.5,"2021-09",8,35.84
"249",50,-4.4,"2021-12",1,0.83
"250",50.3,-3.9,"2021-04",4,56.11
"251",50.2,-4,"2021-04",17,123.16
"252",50.1,-4.2,"2021-10",13,127.4
"253",50.3,-4.6,"2021-10",7,15.22
"254",50.2,-4.5,"2021-01",9,52.21
"255",50,-4.3,"2021-11",8,17.33
"256",50.2,-4.3,"2021-10",21,124.74
"257",50.3,-4.5,"2021-08",9,70.72
"258",50.2,-4.1,"2021-07",19,150.67
"259",50,-4.1,"2021-06",9,23.36
"260",50.3,-4.3,"2021-02",9,18.04
"261",50.2,-4.6,"2021-02",4,5.3
"262",50.4,-4.5,"2021-04",2,17
"263",50,-4.2,"2021-02",15,62.76
"264",50.2,-4.2,"2021-03",16,197.4
"265",50.3,-4.4,"2021-01",15,232.18
"266",50.1,-4.5,"2021-12",10,38.46
"267",50.2,-4.4,"2021-08",13,146.48
"268",50.1,-4.3,"2021-03",15,358.4
"269",50.3,-4.3,"2021-05",12,55.88
"270",50.2,-4.6,"2021-05",3,4.01
"271",50.1,-4.4,"2021-07",14,218.18
"272",50.3,-4,"2021-11",3,20.4
"273",50.2,-3.9,"2021-11",5,170.2
"274",50,-4.1,"2021-01",8,14.3
"275",50.3,-4.1,"2021-09",10,54.78
"276",50.4,-4.4,"2021-11",2,31.2
"277",50.3,-4.4,"2021-06",14,412.97
"278",50.1,-4.3,"2021-04",18,358.26
"279",50.1,-4.1,"2021-08",21,187.58
"280",50,-4.2,"2021-05",14,73.22
"281",50.2,-4.2,"2021-04",20,117.4
"282",50.1,-4,"2021-10",19,183.68
"283",50.4,-4.1,"2021-05",2,1.99
"284",50.1,-3.9,"2021-02",6,26.49
"285",50.2,-4.5,"2021-06",11,67.52
"286",50.3,-3.9,"2021-03",4,9.67
"287",50.2,-4,"2021-03",20,160.35
"288",50.3,-4.1,"2021-12",7,4.43
"289",50.2,-3.9,"2021-10",6,117.67
"290",50.4,-4.4,"2021-10",2,3.56
"291",50.3,-4.1,"2021-08",9,36.71
"292",50.3,-4,"2021-10",2,12.38
"293",50.2,-4.1,"2021-01",17,117.56
"294",50.2,-4.6,"2021-04",2,1.87
"295",50.1,-4.4,"2021-06",17,268.46
"296",50.3,-4.3,"2021-04",8,31.45
"297",50.2,-4.2,"2021-05",20,141.9
"298",50.1,-4,"2021-11",18,216.24
"299",50.4,-4.5,"2021-02",1,1.1
"300",50.1,-4.1,"2021-09",20,235.33
"301",50,-4.2,"2021-04",22,159.25
"302",50.1,-4.3,"2021-05",16,292.73
"303",50.3,-4.4,"2021-07",12,264.55
"304",50.4,-4.3,"2021-08",1,0.33
"305",50.1,-3.9,"2021-03",8,27.14
"306",50.1,-4.1,"2021-12",16,186.03
"307",50.4,-4.1,"2021-04",2,24.01
"308",50.2,-4,"2021-02",15,111.22
"309",50.3,-3.9,"2021-02",1,13.96
"310",50.2,-4.5,"2021-07",14,35.35
"311",50.1,-4,"2021-12",12,82.42
"312",50.2,-4.2,"2021-06",13,157.58
"313",50,-4.2,"2021-07",13,74.6
"314",50.4,-4.5,"2021-01",2,1.69
"315",50.1,-4.3,"2021-06",18,350.45
"316",50.3,-4.4,"2021-04",8,54.42
"317",50,-4.1,"2021-03",12,44.64
"318",50.2,-4.1,"2021-02",16,106.38
"319",50.1,-4.4,"2021-05",18,205.81
"320",50.2,-4.6,"2021-07",6,8.1
"321",50.3,-4.3,"2021-07",8,93.24
"322",50.3,-4.1,"2021-10",9,17.95
"323",50.4,-4.4,"2021-08",2,1.16
"324",50.2,-4,"2021-01",15,136.55
"325",50.2,-3.9,"2021-08",5,184.25
"326",50.3,-3.9,"2021-01",2,5.73
"327",50.3,-4,"2021-08",4,21.27
"328",50.4,-4.2,"2021-03",1,1.12
"329",50.2,-4.5,"2021-04",9,32.35
"330",50.1,-4,"2021-09",17,164.05
"331",50.1,-4.1,"2021-11",21,245.7
"332",50.4,-4.1,"2021-07",3,2.12
"333",50.3,-4.4,"2021-05",10,84.66
"334",50.1,-4.3,"2021-07",16,277.78
"335",50,-4.2,"2021-06",14,85.44
"336",50.4,-4.3,"2021-11",1,0.25
"337",50.2,-4.2,"2021-07",20,141.89
"338",50.3,-4.3,"2021-06",11,113.61
"339",50.1,-4.4,"2021-04",18,231.58
"340",50.2,-4.6,"2021-06",3,6.49
"341",50.2,-4.1,"2021-03",17,172.33
"342",50.3,-4,"2021-12",3,26.45
"343",50.2,-3.9,"2021-12",5,37.23
"344",50,-4.1,"2021-02",9,23.14
"345",50.2,-4.5,"2021-05",17,101.68
"346",50.3,-4,"2021-09",4,23.79
"347",50.4,-4.4,"2021-09",1,1.12
"348",50.3,-4.1,"2021-11",10,25.73
"349",50.2,-3.9,"2021-09",6,160.74
"350",50.4,-4.1,"2021-06",4,114.76
"351",50.1,-4.1,"2021-10",17,248.88
"352",50.1,-3.9,"2021-01",7,25.2
"353",50.1,-4,"2021-08",18,152.37
