"","Lat","Lon","Time Range","Vessel IDs","Apparent Fishing Hours"
"135",50.1,-4.1,"2022-06",13,248.62
"136",50.3,-4.2,"2022-03",8,32.04
"137",50.2,-4.3,"2022-02",13,106.41
"138",50.1,-4.4,"2022-09",26,389.92
"139",50.3,-4.6,"2022-02",2,3.62
"140",50,-4.3,"2022-03",11,54.49
"141",50.1,-4.2,"2022-02",14,80.18
"142",50.3,-4.1,"2022-07",8,28.64
"143",50.3,-4.5,"2022-01",7,111.32
"144",50.1,-4.4,"2022-12",14,70.71
"145",50.3,-4.3,"2022-10",11,64.47
"146",50.2,-4.5,"2022-08",15,62.03
"147",50.2,-3.9,"2022-04",5,145.25
"148",50.3,-4,"2022-04",2,12.34
"149",50.1,-4.3,"2022-11",25,283.73
"150",50.2,-4.2,"2022-11",14,88.6
"151",50.1,-4,"2022-05",15,128.47
"152",50,-4.2,"2022-10",12,54.46
"153",50.3,-4.2,"2022-02",6,40.19
"154",50.1,-4.1,"2022-07",18,348.25
"155",50.4,-4.1,"2022-11",1,0.35
"156",50.3,-4.4,"2022-09",14,146.55
"157",50,-4.4,"2022-01",2,4.68
"158",50.3,-4.1,"2022-06",6,42.96
"159",50.1,-4.2,"2022-03",18,412.9
"160",50.3,-4.6,"2022-03",2,2.27
"161",50.2,-4.5,"2022-12",12,53.13
"162",50,-4.3,"2022-02",6,19.8
"163",50.2,-4.3,"2022-03",16,139.34
"164",50.1,-4.4,"2022-08",21,372.48
"165",50.3,-4,"2022-05",3,13.37
"166",50.2,-3.9,"2022-05",5,218.81
"167",50.3,-4.3,"2022-11",9,44.91
"168",50.2,-4.5,"2022-09",18,194.36
"169",50.2,-4.6,"2022-11",8,26.01
"170",50,-4.2,"2022-11",15,81.44
"171",50.2,-4.2,"2022-10",16,164.6
"172",50.1,-4,"2022-04",15,172.89
"173",50.4,-4.3,"2022-06",1,0.22
"174",50.3,-4.4,"2022-12",9,108.93
"175",50.1,-4.5,"2022-01",14,64.81
"176",50.1,-4.3,"2022-10",19,186.04
"177",50.2,-4.1,"2022-01",23,124.01
"178",50.3,-4,"2022-10",2,18.84
"179",50.3,-4.1,"2022-08",8,37.77
"180",50.4,-4.4,"2022-10",2,1.52
"181",50.2,-3.9,"2022-10",5,97.52
"182",50.3,-4.3,"2022-04",8,116.69
"183",50.1,-4.4,"2022-06",14,204.07
"184",50.2,-4.6,"2022-04",2,2.02
"185",50,-4.2,"2022-04",10,58.2
"186",50.1,-4.1,"2022-09",21,337.84
"187",50.1,-4,"2022-11",6,44.4
"188",50.2,-4.2,"2022-05",14,181.2
"189",50.3,-4.4,"2022-07",9,224.37
"190",50.1,-4.3,"2022-05",16,219.47
"191",50.1,-4.1,"2022-12",19,82.9
"192",50.1,-3.9,"2022-03",10,36.2
"193",50.4,-4.1,"2022-04",2,7.48
"194",50.2,-4,"2022-02",15,61.66
"195",50.2,-4.5,"2022-07",11,95.49
"196",50.1,-4.4,"2022-07",14,259.93
"197",50.2,-4.6,"2022-05",4,28.88
"198",50.3,-4.3,"2022-05",9,147.22
"199",50.4,-4.4,"2022-11",1,0.43
"200",50.3,-4.1,"2022-09",7,18.05
"201",50.2,-3.9,"2022-11",4,56.02
"202",50,-4.1,"2022-01",10,24.3
"203",50.3,-4,"2022-11",2,18.55
"204",50.1,-4.3,"2022-04",21,269.74
"205",50.3,-4.4,"2022-06",13,296.33
"206",50.1,-4,"2022-10",13,82.63
"207",50.2,-4.2,"2022-04",16,148.42
"208",50,-4.2,"2022-05",14,58.89
"209",50.1,-4.1,"2022-08",17,483.84
"210",50.4,-4.5,"2022-03",2,0.6
"211",50.4,-4.1,"2022-05",1,1.01
"212",50.4,-4.3,"2022-09",1,10.05
"213",50.1,-3.9,"2022-02",6,41.35
"214",50.4,-4.2,"2022-01",1,0.58
"215",50.2,-4.5,"2022-06",19,261.02
"216",50.3,-4.1,"2022-12",6,15.66
"217",50.2,-4,"2022-03",21,103.43
"218",50.1,-4.3,"2022-07",14,296.47
"219",50.3,-4.4,"2022-05",12,307.27
"220",50.2,-4.2,"2022-07",14,57.29
"221",50,-4.2,"2022-06",12,44.81
"222",50.2,-4.6,"2022-06",9,29.8
"223",50.1,-4.4,"2022-04",19,197.1
"224",50.3,-4.3,"2022-06",9,136.84
"225",50.2,-3.9,"2022-12",6,79.36
"226",50,-4.1,"2022-02",8,11.56
"227",50.4,-4.4,"2022-12",1,3.89
"228",50.3,-4,"2022-12",2,27.38
"229",50.2,-4.1,"2022-03",15,108.95
"230",50.4,-4.2,"2022-02",1,0.38
"231",50.2,-4.5,"2022-05",11,249.53
"232",50.2,-3.9,"2022-09",5,129.69
"233",50.3,-4.1,"2022-11",5,15.1
"234",50.4,-4.4,"2022-09",1,39.17
