"","Lat","Lon","Time Range","Vessel IDs","Apparent Fishing Hours"
"143",68.9,17,"2023-12",2,5.08
"144",68.8,16.8,"2023-12",3,21.88
"145",68.8,17.2,"2023-02",4,18.83
"146",68.7,17,"2023-02",4,14.3
"147",68.8,17.6,"2023-01",2,20.64
"148",69.1,16.7,"2023-08",1,0.62
"149",69,17.3,"2023-01",2,2.87
"150",68.7,17.2,"2023-06",3,30.59
"151",68.8,17.3,"2023-04",1,1.96
"152",69.1,17.5,"2023-07",4,8.31
"153",69.1,17.2,"2023-06",1,0.61
"154",68.9,17,"2023-11",2,18.36
"155",68.9,16.8,"2023-06",3,16.41
"156",68.8,16.8,"2023-11",5,2.82
"157",68.8,17,"2023-06",1,0.36
"158",68.9,17.4,"2023-09",2,24.32
"159",68.9,16.6,"2023-06",1,0.48
"160",68.8,16.6,"2023-11",3,1.63
"161",69,16.7,"2023-12",1,0.59
"162",69.1,17.6,"2023-05",3,21.87
"163",69,17.2,"2023-07",1,2.53
"164",68.9,17.1,"2023-09",4,9.28
"165",68.9,16.7,"2023-01",16,275.82
"166",68.7,17,"2023-03",2,6.66
"167",69,17.5,"2023-06",1,0.28
"168",68.7,17.4,"2023-01",3,7.83
"169",68.8,17.2,"2023-03",2,18.96
"170",68.7,17.3,"2023-01",3,24.73
"171",69.1,17.3,"2023-01",1,0.17
"172",68.8,17.5,"2023-02",1,1.4
"173",68.7,17.1,"2023-01",9,97.62
"174",68.8,17.4,"2023-04",1,3.05
"175",68.9,17.3,"2023-09",1,2.66
"176",68.8,16.9,"2023-11",1,10.68
"177",69,17,"2023-02",1,1.45
"178",68.9,16.9,"2023-06",3,24.52
"179",68.8,16.8,"2023-10",3,4.8
"180",69,17.6,"2023-05",1,0.96
"181",68.9,17,"2023-10",1,1.82
"182",68.9,16.8,"2023-07",2,4.65
"183",69.1,16.7,"2023-12",1,1.3
"184",68.9,17.3,"2023-12",1,1.49
"185",69,17.4,"2023-01",2,7.51
"186",69.1,17.2,"2023-07",1,0.61
"187",68.7,17.2,"2023-07",1,1.56
"188",69.1,17.5,"2023-06",3,10.73
"189",68.8,17.3,"2023-05",2,5.06
"190",68.9,17.1,"2023-12",7,12.29
"191",69,17.5,"2023-07",1,35.13
"192",68.8,17.1,"2023-05",1,0.7
"193",69,17.2,"2023-06",2,5.47
"194",69.1,17.6,"2023-04",1,1.77
"195",68.8,16.6,"2023-10",3,2.21
"196",68.9,16.6,"2023-07",2,3.89
"197",69,16.9,"2023-01",3,5.28
"198",68.9,16.8,"2023-12",2,5.51
"199",68.9,16.9,"2023-08",1,3.96
"200",68.7,17.2,"2023-12",3,48.04
"201",69,17.5,"2023-12",1,2.18
"202",69,16.7,"2023-06",1,1.88
"203",69.1,17.6,"2023-11",1,2.26
"204",68.9,16.6,"2023-12",2,7.58
"205",69,17.5,"2023-09",3,17
"206",69.1,16.8,"2023-01",1,0.43
"207",68.8,16.7,"2023-03",5,28.3
"208",68.7,16.8,"2023-01",4,17.29
"209",68.9,17.2,"2023-01",4,13.58
"210",68.9,16.6,"2023-09",1,2.06
"211",68.9,17.4,"2023-06",3,5.24
"212",68.8,17.4,"2023-11",1,0.38
"213",68.9,16.8,"2023-09",2,4.52
"214",69.1,17.5,"2023-08",1,5.68
"215",68.7,17.2,"2023-09",5,40.04
"216",69.1,17.5,"2023-12",2,1.9
