"","Lat","Lon","Time Range","Vessel IDs","Apparent Fishing Hours"
"1",68.8,16.8,"2022-01",7,170.55
"2",69,16.9,"2022-05",1,1.79
"3",69,17.4,"2022-10",1,3.88
"4",68.8,17.5,"2022-08",1,3.38
"5",68.7,17.4,"2022-11",2,6.2
"6",68.9,17.1,"2022-03",1,3.33
"7",68.8,16.6,"2022-01",4,5.1
"8",68.8,17.2,"2022-09",2,0.36
"9",68.7,17.3,"2022-11",2,20.94
"10",69.1,16.8,"2022-04",2,3.96
"11",68.9,16.7,"2022-11",3,45.77
"12",69.1,16.9,"2022-05",1,0.75
"13",69,16.7,"2022-03",2,24
"14",68.8,17.2,"2022-08",1,1.63
"15",68.8,16.7,"2022-06",2,2.45
"16",69.1,17.4,"2022-10",2,0.9
"17",68.7,17,"2022-08",1,1.22
"18",69.1,17.1,"2022-11",1,3.8
"19",68.9,17.3,"2022-02",2,4.72
"20",69,17.4,"2022-11",3,19.7
"21",69,16.9,"2022-04",1,0.96
"22",68.7,17.1,"2022-10",7,8.64
"23",69,17.3,"2022-11",7,42.23
"24",68.9,17.4,"2022-02",2,15.79
"25",69,16.8,"2022-04",1,1.06
"26",69.1,17.3,"2022-11",4,3.64
"27",68.8,17.5,"2022-12",1,1.04
"28",68.7,17.3,"2022-10",2,5.96
"29",69,17.1,"2022-11",3,19.02
"30",68.9,17.5,"2022-04",1,1.24
"31",68.8,17.2,"2022-12",1,1.38
"32",68.9,16.7,"2022-10",6,42.33
"33",69.1,17.4,"2022-11",5,7.04
"34",68.7,17.4,"2022-10",2,18.73
"35",68.9,17.1,"2022-02",3,4.72
"36",69.1,17,"2022-08",1,0.63
"37",68.7,17.1,"2022-11",6,16.43
"38",69,17.3,"2022-10",2,17.34
"39",68.8,16.7,"2022-07",2,12.31
"40",69,16.6,"2022-04",1,0.2
"41",68.7,17,"2022-12",3,6.07
"42",69,17,"2022-12",1,0.76
"43",69,16.8,"2022-05",2,3.05
"44",68.8,17.6,"2022-10",1,0.08
"45",68.8,16.9,"2022-01",6,70.91
"46",68.9,17.1,"2022-01",1,35.46
"47",68.9,16.7,"2022-09",1,0.18
"48",69.1,17.3,"2022-09",2,1.95
"49",69.1,16.9,"2022-06",1,12.04
"50",69,17.1,"2022-08",2,0.16
"51",69,16.9,"2022-07",1,0.08
"52",68.9,17.7,"2022-02",1,15.61
"53",68.8,16.8,"2022-03",1,7.76
"54",69,17.3,"2022-08",1,1.97
"55",68.7,17.1,"2022-09",1,0.43
"56",68.9,17.3,"2022-01",3,2.26
"57",68.7,17.1,"2022-12",2,7.69
"58",69,16.8,"2022-06",1,0.41
"59",69,17,"2022-11",4,21.46
"60",69,17.4,"2022-09",4,14.4
"61",68.8,16.9,"2022-02",1,3.91
"62",68.7,17,"2022-10",5,32.88
"63",68.8,16.7,"2022-05",2,0.56
"64",69.1,17.4,"2022-08",3,17.83
"65",68.9,16.7,"2022-12",4,38.02
"66",68.8,17.5,"2022-11",4,11.02
"67",68.8,17.2,"2022-10",7,12.22
"68",68.9,17.5,"2022-06",1,0.25
"69",68.7,17.3,"2022-12",1,12.95
"70",69,17.3,"2022-09",2,4
"71",68.8,16.8,"2022-02",4,13.63
"72",68.7,17.1,"2022-08",2,1.85
"73",69.1,17.1,"2022-08",1,14.21
"74",69,16.9,"2022-06",2,1.68
"75",68.8,16.9,"2022-03",1,0.58
"76",69,17.4,"2022-08",2,0.82
"77",69,16.8,"2022-07",1,0.67
"78",69,17.3,"2022-12",1,3.24
"79",68.9,17.4,"2022-01",4,10.4
"80",68.9,17.5,"2022-07",1,0.7
"81",68.8,17.2,"2022-11",4,29.86
"82",68.8,17.5,"2022-10",2,5.74
"83",69.1,17,"2022-11",1,0
"84",68.7,17,"2022-11",5,18.35
"85",69.1,17.4,"2022-09",3,17.6
"86",68.8,16.7,"2022-04",2,7.83
"87",68.9,17.4,"2022-06",1,0.42
"88",68.8,17.4,"2022-11",1,32.74
"89",68.8,16.9,"2022-04",2,22.16
"90",68.7,17.2,"2022-09",1,0.83
"91",68.9,17.6,"2022-02",2,19.64
"92",69.1,17.5,"2022-08",2,10.03
"93",69,17.5,"2022-09",3,11.36
"94",68.7,16.8,"2022-01",2,3.68
"95",68.8,16.7,"2022-03",3,2.25
"96",69,17.2,"2022-08",2,1.53
"97",68.9,17.2,"2022-01",1,0.36
"98",68.8,17.1,"2022-10",1,235.48
"99",69.1,17.6,"2022-11",1,0.97
"100",69,16.7,"2022-06",1,0.69
"101",68.9,16.6,"2022-12",1,0.66
"102",68.8,16.8,"2022-05",1,0.88
"103",68.9,17,"2022-05",1,1.03
"104",68.9,16.8,"2022-12",1,0.15
"105",69,17.6,"2022-10",1,0.05
"106",68.9,17.3,"2022-07",1,13.93
"107",68.7,17.2,"2022-12",1,5.24
"108",68.8,17.3,"2022-10",3,15.61
"109",68.7,17.2,"2022-08",2,1.04
"110",69.1,17.5,"2022-09",2,12.64
"111",68.9,17.6,"2022-03",1,5.08
"112",68.9,16.9,"2022-12",1,4.88
"113",68.8,16.9,"2022-05",1,1
"114",68.9,16.8,"2022-08",1,2.1
"115",68.9,16.6,"2022-08",1,0.12
"116",68.9,17.5,"2022-01",1,1.6
"117",69,17.2,"2022-09",2,2.14
"118",68.8,16.7,"2022-02",6,34.29
"119",69,17.5,"2022-08",2,2.31
"120",68.7,16.9,"2022-01",6,25.13
"121",69.1,17.6,"2022-10",1,1.5
"122",68.8,17.1,"2022-11",1,417.67
"123",68.8,17.3,"2022-11",4,33.97
"124",68.9,16.9,"2022-09",1,0.67
"125",68.9,16.5,"2022-11",1,0.69
"126",68.8,16.8,"2022-04",4,9.72
"127",69.1,17.6,"2022-08",2,58.19
"128",68.9,17.5,"2022-02",3,10.29
"129",69,16.6,"2022-02",1,0.07
"130",68.8,17.1,"2022-09",1,18.15
"131",68.8,16.7,"2022-01",16,221.4
"132",68.8,17.3,"2022-09",1,0.53
"133",69,16.8,"2022-02",1,0.3
"134",68.9,16.9,"2022-11",4,23.11
"135",69.1,16.6,"2022-03",1,1
"136",68.8,17.3,"2022-12",1,2.81
"137",69.1,17.5,"2022-11",2,2.97
"138",68.7,17.2,"2022-10",6,32.47
"139",69.1,17.2,"2022-10",1,0.82
"140",68.9,16.5,"2022-12",1,0.4
"141",68.8,17.4,"2022-08",1,1.98
"142",68.9,16.8,"2022-10",1,3
"143",68.9,17.7,"2022-06",1,2.15
"144",68.8,16.8,"2022-07",1,2.98
"145",68.9,16.6,"2022-10",3,2.21
"146",68.7,16.9,"2022-02",1,1.06
"147",69,16.7,"2022-04",2,33.8
"148",68.8,17.1,"2022-12",1,1.94
"149",69,17.2,"2022-11",5,21
"150",69,17.5,"2022-10",3,8.27
"151",68.9,17.1,"2022-05",3,4.51
"152",69,16.6,"2022-03",1,6.31
"153",68.9,17.5,"2022-03",1,3.15
"154",69.1,17.6,"2022-09",2,43.93
"155",68.9,17.2,"2022-02",2,21.36
"156",69,16.5,"2022-01",2,2.74
"157",69,17.6,"2022-08",2,2.22
"158",68.9,16.5,"2022-08",1,0.13
"159",68.9,16.9,"2022-10",1,0.63
"160",68.9,17.6,"2022-01",1,2.61
"161",68.8,17.3,"2022-08",1,0.63
"162",68.8,16.8,"2022-06",1,0.08
"163",68.9,17.7,"2022-07",1,24.61
"164",68.9,16.8,"2022-11",4,17.05
"165",68.8,17.4,"2022-09",1,4
"166",69.1,17.5,"2022-10",1,2.33
